pos	count	bq.mean	bq.sd
201	5593006	26.9906	6.62826
202	5584032	26.9724	6.6324
203	5574834	26.9524	6.63575
204	5565586	26.9303	6.63917
205	5556480	26.9086	6.64256
206	5547245	26.8874	6.64578
207	5537732	26.8601	6.65285
208	5528288	26.8401	6.65096
209	5518726	26.8177	6.65258
210	5509147	26.7927	6.6593
211	5499498	26.775	6.6624
212	5490073	26.7489	6.66671
213	5480494	26.7258	6.67129
214	5470640	26.7001	6.67443
215	5460829	26.6815	6.67927
216	5450982	26.6514	6.68317
217	5441028	26.6314	6.68366
218	5431137	26.6065	6.68845
219	5420994	26.5776	6.69847
220	5410728	26.5569	6.69748
221	5400451	26.5378	6.69835
222	5390128	26.5116	6.70449
223	5379614	26.4894	6.70805
224	5369196	26.4638	6.70694
225	5358645	26.4386	6.71046
226	5348114	26.4166	6.71512
227	5337481	26.3904	6.71789
228	5326589	26.3662	6.72068
229	5315935	26.3407	6.72267
230	5304969	26.3171	6.72834
231	5293885	26.2892	6.7314
232	5282716	26.2685	6.73098
233	5271418	26.2452	6.73523
234	5260046	26.2187	6.73904
235	5248805	26.1939	6.73969
236	5237506	26.1696	6.74547
237	5225884	26.1445	6.74753
238	5214360	26.1215	6.74946
239	5202849	26.0961	6.75379
240	5191111	26.0738	6.75211
241	5179471	26.0472	6.75759
242	5167685	26.0254	6.75719
243	5155894	25.9924	6.76409
244	5143949	25.9639	6.76731
245	5131715	25.9389	6.76604
246	5119736	25.9108	6.77398
247	5107457	25.8896	6.77591
248	5095209	25.8615	6.776
249	5082813	25.8367	6.7771
250	5070282	25.811	6.7814
251	5057436	25.7864	6.781
252	5044739	25.7582	6.78553
253	5031913	25.7355	6.78599
254	5019169	25.707	6.78521
255	5006336	25.6775	6.79209
256	4993495	25.6551	6.79499
257	4980516	25.6293	6.79674
258	4967194	25.6055	6.7974
259	4953807	25.5806	6.79633
260	4940676	25.554	6.80134
261	4927283	25.5305	6.80192
262	4913867	25.5098	6.80268
263	4900329	25.4804	6.80834
264	4886592	25.4523	6.8101
265	4873054	25.4312	6.80898
266	4859120	25.4104	6.81149
267	4845348	25.3891	6.8113
268	4831363	25.3661	6.81542
269	4817275	25.3441	6.81587
270	4803263	25.3245	6.81705
271	4789240	25.3001	6.8198
272	4775005	25.2803	6.81557
273	4760783	25.2572	6.82227
274	4746480	25.2368	6.82138
275	4732037	25.2123	6.82287
276	4717980	25.1968	6.82232
277	4703690	25.1706	6.82913
278	4689172	25.1493	6.8263
279	4674549	25.1286	6.83042
280	4659922	25.1109	6.82691
281	4645026	25.0887	6.83059
282	4630168	25.0694	6.83001
283	4615081	25.0499	6.82818
284	4599791	25.0298	6.83087
285	4584496	25.0106	6.83111
286	4569184	24.9888	6.83231
287	4553877	24.9682	6.83069
288	4538324	24.9511	6.83001
289	4522803	24.9285	6.83304
290	4507261	24.9079	6.83572
291	4491621	24.8884	6.83383
292	4475971	24.8747	6.83224
293	4460302	24.8508	6.8335
294	4444560	24.8315	6.83098
295	4428765	24.8089	6.8339
296	4412631	24.7925	6.83145
297	4396569	24.7703	6.83244
298	4380505	24.7487	6.83453
299	4364066	24.7329	6.83385
300	4347811	24.7131	6.83404
301	4331547	24.6953	6.83195
302	4315146	24.6773	6.83187
303	4298567	24.6531	6.83481
304	4282104	24.6376	6.83565
305	4265465	24.6148	6.83424
306	4248551	24.5947	6.83409
307	4231734	24.5777	6.82882
308	4214922	24.5587	6.82913
309	4198055	24.5338	6.83414
310	4181045	24.5164	6.83115
311	4163730	24.4945	6.8316
312	4146415	24.4722	6.82949
313	4129044	24.4523	6.82877
314	4111565	24.4317	6.82977
315	4094224	24.4045	6.83033
316	4076832	24.3832	6.82804
317	4059142	24.3614	6.83206
318	4041731	24.341	6.82934
319	4024269	24.3177	6.82712
320	4006699	24.2973	6.82635
321	3989101	24.2725	6.82782
322	3971253	24.251	6.82475
323	3953492	24.229	6.82678
324	3935377	24.2059	6.82363
325	3917410	24.1807	6.82613
326	3899392	24.1563	6.82289
327	3881420	24.1359	6.82433
328	3863114	24.1091	6.82527
329	3845221	24.0843	6.82556
330	3826991	24.0634	6.82383
331	3808671	24.0377	6.82344
332	3790398	24.0189	6.82126
333	3772079	23.9885	6.82579
334	3753735	23.9666	6.82307
335	3735130	23.943	6.82253
