offset	mismatches	insertions	deletions	reads
212	3462	12728	15422	5480494
213	3421	12609	15138	5470640
214	3512	12878	15176	5460829
215	3570	12825	15352	5450982
216	3494	12881	15145	5441028
217	3388	12965	15310	5431137
218	3591	12917	15441	5420994
219	3583	13104	15535	5410728
220	3549	13155	15589	5400451
221	3643	13464	15695	5390128
222	3630	13314	15754	5379614
223	3666	13335	15536	5369196
224	3657	13289	15708	5358645
225	3755	13575	15845	5348114
226	3757	13530	15933	5337481
227	3707	13871	16200	5326589
228	3661	13830	16223	5315935
229	3660	13671	16127	5304969
230	3755	13905	16318	5293885
231	3724	13990	16693	5282716
232	3695	14045	16497	5271418
233	3812	13939	16583	5260046
234	3918	14019	16619	5248805
235	3933	14096	16974	5237506
236	3937	14249	16972	5225884
237	3939	14202	17138	5214360
238	3943	14109	16998	5202849
239	3983	14369	17032	5191111
240	3770	14383	17294	5179471
241	4020	14640	17241	5167685
242	3943	14379	17784	5155894
243	4071	14331	17626	5143949
244	4109	14678	17557	5131715
245	4084	14611	17587	5119736
246	4069	14514	17776	5107457
247	4045	15007	17897	5095209
248	4075	14549	17841	5082813
249	4193	14920	17763	5070282
250	4174	14774	18018	5057436
251	4189	15036	18076	5044739
252	4177	15209	18029	5031913
253	4269	15226	17947	5019169
254	4241	15293	18264	5006336
255	4316	15312	18181	4993495
256	4279	15382	18347	4980516
257	4295	15744	18255	4967194
258	4289	15648	18356	4953807
259	4413	15847	18356	4940676
260	4414	16075	18430	4927283
261	4425	15989	18488	4913867
262	4424	16221	18364	4900329
263	4426	15899	18274	4886592
264	4451	16224	18461	4873054
265	4440	16487	18489	4859120
266	4518	16414	18699	4845348
267	4549	16718	18857	4831363
268	4469	16576	18679	4817275
269	4459	16764	18458	4803263
270	4497	16877	18411	4789240
271	4616	16859	18644	4775005
272	4719	16913	18964	4760783
273	4611	17276	18821	4746480
274	4545	17094	18479	4732037
275	4656	17257	18831	4717980
276	4730	17379	19069	4703690
277	4660	17496	18955	4689172
278	4808	17387	18872	4674549
279	4671	17598	18876	4659922
280	4761	17391	18929	4645026
281	4708	17504	19013	4630168
282	4661	17798	18956	4615081
283	4887	17539	19057	4599791
284	4767	17898	19155	4584496
285	4842	17781	19257	4569184
286	4873	17963	19173	4553877
287	4755	18022	19092	4538324
288	4799	18146	19180	4522803
